Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Androecium,Pumkesara,Tajammu' Tukhmdaan/Narkot,Makarandham,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Anther,pargakoa,Zardaan,Magarantha thool,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Aril,koapatra,Qishr-e-Zaayed,Vithai mel padar narrambu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Bamboo manna,vaalocana,,Moongiluppu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Branches,kh,Shaakh,Kizhaikal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Coconut water,Narikela jala,Maajoz-e-Narjeel,Tenkai Paal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Cold infusion,tata/hima,,,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Endosperm,bjamajj,Daroon-e-Tukhm,Vithai Paruppu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Expressed juice,Svarasa,,,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Fermented alcoholic product of crude drugs,sava,,,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Fire/ Heat,agni,,,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Flower,pupa,Gul,"Poo ,malar,Malar ethazh",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Flower Bud,mukula,Shagoofah-e-Gul,Poo Mokku,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Fresh rhizome / tuber,Ardra kanda,Jazar-e-taazah,Elam Verkombu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Fruit,phala,Samar/Fawakeh,Pazham,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Fruit exudate,phalanirysa,Taraavush-e-Samar,"Vithai,Pazha Kasivu",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Fruit indumentum,phalaraja,Ghilaaf-e-Samar,Pazha Thozh Melpodi,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Fruit pulp,phalamajj,Goodah-e-Samar,Pazha Sathai,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Fruit rind,phalatvak,Post-e-Samar,"Pazha odu,Pazha thol",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Gall,kagha,Maazu,Puzhukkoodu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Gruel,yavgu,,,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Heart wood,khamajj,Qalb chob / Iedaan/Khashab,"Ulthandu,Kattai",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Irregular patches of dark wood highly charged with oleoresin,kmijagdhakha,Samagh Roghni/Roghni Raal,"Pisin Purani,Pisin pattai",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Juice sacs,phalakesara,Kesah-e-Arq,"Saatru Koodu,Saatru pai",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Latex,kra,Sheer-e-Shajari,Moolikai,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Leaf,patra,Barg/Patti,"Ilai,Thazhai",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Leaf pulp,patramajj,Maghz-e-barg,Ilai Soru,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Parched rice,lj/lv,,,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Rhizome,prakanda,Jazr/Zameen Saaq,"Ver Kombu,Matta nila thandu",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Root,mla,Beekh/Asl/Usool,Ver,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Root bark,mlatvak,Post-e-Asl,Ver Pattai,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Root tuber,mlakanda,,Verkizhangu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Seed,bja/ phalsthi,Tukhm/Bazr/Buzoor,"Vidhai,Vithu,Kottai",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Semiliquid formulation,leha,,,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Shoot,praroha,Insha'ab-e-Ghunchah,"Kuruthu,Mulai",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
"St.Bark,Leaf,Flower,Fruit&Root",Pancanga,Nabat Musallam,Samoolam,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Stalk,nla,Saaqah/Danthal,Valayam / Ilam Thandu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Stem,ka,Tana,Thandu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Stem bark,knatvak,Post-e-Saaq / Chhaal,"Thandu Pattai, Mara pattai",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
Stem tuber,kakanda,,Thandu Kizhangu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Plant-Part.asp
