Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Abdomen,udara,,"Utharam, Vayitrarai",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Acromial region,asa,,Tholpattai,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Aged,vddha,Sin raseeda /Shuyookh,"Mudhiya,Vayadhu mudhirntha",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Anus,gud,Maqa'd/ Dubr,"Asanam,Moola vaai",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Axilla/e,Kaksa,Ibt/ Baghal,"Akkul,Vaaku moolam",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Belly / Pelvic region,kuki/roi,,"Keezhvayeru,,Adi vayiru",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Blood,oita,Dam/Khoon,"Kuruthi,Irattham,Sen thadhu",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Blood vessel,sir,Urooq-e-Damviyah,"Kuruthi kuzhal, rattha thanthugi, Senneer kuzhal,Naadi,Naalam",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Bone/s,Asthi,I'zaam/Azm,Enbu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Bowels,koha,,Mala kudal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
Butter,navanta,Makkhan/ Zabad/ Maska,"Vennai,Navaneedham",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Animal-Part.asp
