Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Afternoon,madhyhna kla,Seh Pehar,"Mathiyam ,Pirpagal",,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
At night / At bed time,Naisa / Ratri,Ba waqt-e-khuaab,Eravil Padukku poauthu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Dusting,avacrana,,Podi Thimirthal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Ear drop,Karna purana,Qutoor-e-Uzn,Kadhilidal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
early morning,prtakla,,Athi Kacai,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Empty stomach,abhakta,Khuloo-e-Meda,Verum Vaitril,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Enemata,vasti / basti,Huqnah,Malam Kalartal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Eye drop,Aksi ascyotana,Qutoor-e-chashm,Kalikam,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Gargles,kavala,Ghargharah,Koppalippu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Holding medicine in mouth,mukha dhraa,Mass,Vayil Adaithu Kollal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
In the evening,sandhykla,Ba waqt-e-shaam,Maalai,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Just before meals,prgbhakta,Qabl-e-Ghiza,Unaverkku Nun,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
licking,lehana,Chaatna / La'q,Nakkal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Medicinal application in the eye,ajana,Shaafah / Kaajal / Kohl,Kalikkam Anjanam,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Mixed or cooked with food,sabhakta,,Unavu Dan Serththu  allathuSammaiththu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Mouth kept filled with medicine,gaa,Mazmazah,Vayal Adaithal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Oral administration,auadhi pna,Istemaal-e Khurdani,Ul Marunthu,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Oral paint,Mukha lepa,,Vayul Thadaval,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Proliferative phase including ovulation,tukla,,Ruthu Kalam,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Rubbing,Udgharsana,Malna,Azhuthi Theithal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Snuffing,nasya,,Naasikabaranam/Nasiyam,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Vaginal pack,Yoni purana,Hashw-e-Mahbil,Yoni Marunthootal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
Wearing of medicine,Ausadhi dharana,,Marunthu Anithal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
wound packing,Vrana varti,Shaafa-e-Quroohi,Pun Mel thadadal,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Administration.asp
