Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Abies spectabilis,tlapatra,Taaleesfar/Daar Kesah/ Maaqoo/Zarnab/Talispattar,Talisbatri,English yew,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Achyranthes aspera Linn.,apmrga,Daadmardan,"Nayuruvi, Sirukadaladi,Abamaarki,Krishnapanni,Sekari,Maamuni,Kottaavi,Naavaranchi, Sennayuruvi",devil's horsewhip,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Boerhaavia diffusa Linn.,punarnav,Saanta / Punar Nava,"Mukkurattai keerai, Putbakam, Rathaputpikaa","Horse-purslane, Hogweed",https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Boerhaavia verticillata Poir.,punarnav veta,,,,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Boswellia serrata Roxb.,allak,Kundur,"Parangi sambirani,Narumpisin,Kumanchan,Kundhilingam,Kundhurukkam, Thoopam",Indian frankincense,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Buchanania lanzan Spr.,priyla,Chironji,"Morala, Mudaima, Kattuma, Sarai, Akkarappattai, Charapparuppu","Almondette tree, Cheronjee,
Buchanans Mango",https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Butea monosperma,pala,Samagh-e-Dhaak/Palaaspaaapra/Dhak/Tesu/Chanya/ Channi Gond/ Chanya Gond/Kamarkas,"Purasu,Palasu,Kirumi naasam,Kinjuki,Bramma thaaru,Puna murukku,Vaatha botham,Vana pathiyam",Bengal kino,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Cajanus cajan,hak,Arhar,"Thuvarai,Aadagi,Kaachi,Suraattam,Mirutthalagam,Thorai",pigeonpea,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Callicarpa macrophylla Vahl,priyagu,Dev Manjari/Nigand baabri/Aag Baliya,,Perfumed Cherry,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Calotropis gigantea,alarka,Madar/Aak,"Erukku,Arukkan, Erukki, Arakkam",giant milkweed,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Calotropis procera Dryand ex W.Ait.,arka,,Vellerukku,"mudar, roostertree",https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Cannabis sativa Linn.,"vijay, bhga",Qinnab/Bhang,"Kanja,Korakkar mooli,Siva mooli,Karpa mooli,Moodandam,Bangi,Madhamathakam","grass, hashish, hemp, marijuana, Mary Jane, pot,Indian Hemp",https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Capparis zeylanica Linn.,gdhranakh,,"Aathondai,Igudi, Indu, Migupalathan,Katthotti,Kaka turathi, Viyanicham, Tulambikkiri",Ceylon Caper,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
Iresine herbstii Hook. f. Syn. Achyranthes verschaffeltii Lam.,rakta apmrga,,,Herbst's bloodleaf,https://www.tkdl.res.in/tkdl/langdefault/Ayurveda/Utility/KeywordDemo/Misc.asp
