Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Ama,ma,,"Seetham,Aamam",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Anasarca,,,"Sogai, Sobai",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Anorexia,arocaka,Nuqsaan -ul- Shahvath / Zof-e-Ishteha,Rusi inmai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Biliuria,hridrameha,,Pitha Neer,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Blood dysentery,rakttisra,,"Rattha Kazhichal ,Kuruthi kazhichal",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Bodyache,vtajala,Dard-e-Badan,Udal Vali,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Bronchial asthma,tamaka vsa,Zeeq-al-Nafas Shubi/Zeeq-al-Nafas/ Rabw,Eraippu Erunal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Bubo,,,Araiyappu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Burning micturition,Mutradaha,Hurqat-al-Baul,Neer erichal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Cachexia,oa,Huzaal,Udal Ilaippu Noi,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Calculus,Mutrasmari,,"Kalladaippu,Achamari",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Cancer/ Carcinoma,,,"Putru noi, Vipuruthi",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Carbuncle/Furuncle,,,"Pilavai, Vipuruthi, Pudai",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Cataract,timira,,"Thimiram, Pithakkaasam, Kan poo",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Chill and rigors,vepathu,Larzah-wa-Qasha'reerah,Kulir/Nalir,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Chronic & severe condition of any disease,sannipta,,Mukkutra Noigal/Theevira Noikal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Chronic diarrhoea,,,"Vidaakazhichal, Sosikaa kiraani",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Convulsions,kepaka,,Valippu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Cough with expectoration,rdraksa,,Sali Irumal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
Cramp/Contraction/Spasam,,,"Pidippu, Izhuppu",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Diseases.asp
