Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Ass,khara,Utaan/Khar/ Gadhi/Gadha,Kazhuthai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Name.asp
Buffalo,mahia,Bhains/Jaamoos,"Erumai,Mahisham",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Name.asp
Cow,gau,Eenak/ Mada Gao,"Pasu,Komaadhaa",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Name.asp
Earthworm,bhnga,Ama'a-al-Arz/Kirm-e-Zameen/Kharaateen/Kenchuva,"Poonaagam,Kanda patham,Naankool poochi,Man puzhu,Man sumandha vaasuki",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Name.asp
Goat,Vasta / Basta,Buz/ Ma'z,Vel Aadu / Aadu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Name.asp
Hen,kukkua,Maakiyaan/ Murghi/Dajaajah,"Kozhi,Kukkidam,Kaalayudham,Vaaranam,Aandalaippul",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Name.asp
Horse,ava,Aat / Asp / Fars / Ghoda,"Kudhirai,Pari,Vaasi",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Name.asp
Leech,jalauk,Zaloo/ Jonk,Attai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Name.asp
Parrot,ka,Tota/ Babghaa/ Popat,Kili,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Name.asp
Peacock / Pheasant,jvajvaka,,"mayil,mayuram,kaegayam",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Name.asp
Tortoise,kacchapa/krma,Ooba/ Sang pusht/ Tasbaagha/ Kachhwa/ Sulhafaat,"Amai,kamadam,koormam,kamadathari",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Name.asp
