Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Abdomen,udara,,"Utharam, Vayitrarai",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Blood,oita,Dam/Khoon,"Kuruthi,Irattham,Sen thadhu",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Bone/s,Asthi,I'zaam/Azm,Enbu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Bovine gall stone / Bezoar,gorocana,,"Gorojanam,Myrosanam,Vathsala mani,Rosanam,Komandhiram",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Butter,navanta,Makkhan/ Zabad/ Maska,"Vennai,Navaneedham",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Butter milk,takra,Chhaachh/ Dogh/ Iran,Mor,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Centipede,,,"Seiyaan, Pooraan",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Cheeks,Kapola,,Kannam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Child,blaka,,Kuzhandhi,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Civet cats semen,gandha mrjra vrya,,Punugu/ Savvapu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Clarified butter,ghta/sarpi,Roghan-e-Zard/Ghee,Nei,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Coral / Corallium rubrum,pravla/vidruma,Marjaan/Hajar-e-Shajari/Busud/Kharoomak,"Pavazham,Pravaalam,Thukir,Thuppu,Vaarithi thandu,Senthandu maalai",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Curd,dadhi,Jaghraat/ Maast/ Dahi,Thayir,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Deer's horn,Mrgasrnga,,Maankombu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Dung,Karisa / Purisa /Sakrta,Sargeen/ Gobar,"Saanam,Eru,Latthi,Vittai,Puzhukkai",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Earlobule,Karnapali,Shahmat-al-Uzn/Fusais-al-Uzn,Purakkaadhu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
excreta,akdrasa,,Saanappaal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Extremities,kh,Atraaf,"Kai, Kaalkal",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Eye,Aksi / Netra,Ain,"Kann,Vizhi,Nethiram,Nayanam",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Face,nana,Wajh/ Chehra,Mugam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Human milk,stanya,Sheer-e-Zanaan,"Thaai Paal,Mulai paal,Amudhu",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Joints,asthi-sandhi/sandhi,Mafaasil,"Poruthugal,Moottu, Enbu poruthu",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Knee,Janu,Rukbah/ Zaanoo/Ghutna,Muzhankaal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Lacifer lacca,lk,,Kombarakku,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Leg,Jangha,Saq,Kaal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Ligament,Snayu,Ribaat,Thasainaar,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Mouth,mukha,Fam/Dahan,Vaai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Musk,kastr,Misk/Mushk,"Maan madham,kasthoori",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Nose,ns,Anf,"Mookku, Naasi",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Ovum,aa,Baizah-e-Unsa,"Karu muttai, Muttai",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Penis,mehra/ liga,Qazeeb/ Zakar,Aan Kuri,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Shoulder,Skandha,Katif/ Shaanah,Thol poruthu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Silk pod,bareama,,Koodu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Skin,carma,Jild/ Post,"Thol,Sarumam",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Uterus,garbhaya,Rehm,Karuppai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
Vagina,apatyapatha/yoni,Mahbil,Yoni,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Animal-Part.asp
