Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Alleviates all diseases,Sarvarogahara,,Sarvanoi neekki,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Alleviating Ama,mahara,,Mantham pokki,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Anabolic,dhtuvddhikara,,Udal Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Anti oxidant,rasyana,,Mudhumai Naraithirai Pokki,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Anti-leprotic,kuhaghna,,Tholpini Agatri            Kuttam Pokki,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Aphrodisiac,vya / vjkaraa,Muqawwi-e-Baah/Mubahhi/Moharrik-e-Baah,Aanmai Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Appetizer,dpana,Mushtahi/Mushahhi,Pasi thee thoondi,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Aversion to food,annadvea,,Anna Thuvesam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Beneficial for voice,svarya,,Kural Valamundaakki,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Bitter,tikta,Murr,"Kaippu,Kasappu",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Carminative,,,Agatuvaayuvakatri,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Clearing vision,diprasdana,,Paarvai thetri,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Complexion promoting,varya,,Azhagu undaakki,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Detoxification,doapcana,,Thodamakatri,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Diuretic,Mtravirecanya / Mtrala,Mudirr-e-Baul,Siruneer Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Expectoration of mucous / Excision,Chedana,,Kozhaiyagatri,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Final transformation after digestion,vipka,,Serimana Pin Matram,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Hair dyer,kearajana,,Mudi Karuppaakkukindra,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Immobile,sthira,Ghair Mutaharrik,Salanamatra,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Immuno-modulator,Ojovardhaka,,Udal Thathubalamakki/ Vaseekaram Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Increases kapha,kaphavardhaka,,Iyyam Migundha,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
Increasing body weight,upacayakara,,Udal Uramaakki,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Action.asp
