Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Afternoon,madhyhna kla,Seh Pehar,"Mathiyam ,Pirpagal",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
At night / At bed time,Naisa / Ratri,Ba waqt-e-khuaab,Eravil Padukku poauthu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
During Menstruation,rtavakla,,Ruthu Kaalathil,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
Ear drop,Karna purana,Qutoor-e-Uzn,Kadhilidal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
early morning,prtakla,,Athi Kacai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
External application,,,Veli Prayogam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
Gargles,kavala,Ghargharah,Koppalippu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
In the evening,sandhykla,Ba waqt-e-shaam,Maalai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
Inhalation,,,Nugarthal,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
Medicated thread,krastra,Khait-e-Moa'alajaati,"Seelai,?Marunthu kayiru",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
Medicinal application in the eye,ajana,Shaafah / Kaajal / Kohl,Kalikkam Anjanam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
Mixed or cooked with food,sabhakta,,Unavu Dan Serththu  allathuSammaiththu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
Morning,,,Kaalai,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
Oral administration,auadhi pna,Istemaal-e Khurdani,Ul Marunthu,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
Snuffing,nasya,,Naasikabaranam/Nasiyam,,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Administration.asp
