Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Abies spectabilis,tlapatra,Taaleesfar/Daar Kesah/ Maaqoo/Zarnab/Talispattar,Talisbatri,English yew,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Achyranthes aspera Linn.,apmrga,Daadmardan,"Nayuruvi, Sirukadaladi,Abamaarki,Krishnapanni,Sekari,Maamuni,Kottaavi,Naavaranchi, Sennayuruvi",devil's horsewhip,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Boerhaavia diffusa Linn.,punarnav,Saanta / Punar Nava,"Mukkurattai keerai, Putbakam, Rathaputpikaa","Horse-purslane, Hogweed",https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Borassus flabellifer Linn.,tla,Ita/Sendhi/Tar/Tad,"Panai, Karumpanai, Nongu, Panai maram,Kaamam,Edagam,Karumpuram,Tharu viraagan, Talai",toddy palm,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Brassica juncea,rjik,,"Kadugu, Iyavi","Chinese mustard, India mustard, Indian mustard",https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Butea monosperma,pala,Samagh-e-Dhaak/Palaaspaaapra/Dhak/Tesu/Chanya/ Channi Gond/ Chanya Gond/Kamarkas,"Purasu,Palasu,Kirumi naasam,Kinjuki,Bramma thaaru,Puna murukku,Vaatha botham,Vana pathiyam",Bengal kino,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Cadaba fruticosa,"velibi, hababa",Ala,"Kattu akathi,Veezhi, Viludi, Vili",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Cajanus cajan,hak,Arhar,"Thuvarai,Aadagi,Kaachi,Suraattam,Mirutthalagam,Thorai",pigeonpea,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Calamus rotang Linn.,vetra,,"Pirambu,Vanchi kodi, Arini, Suvetam, Pisin, Pirappankizhangu, Sooralkizhangu",rattan,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Calophyllum inophyllum Linn.,punnga,,"Punnai, Punnaakam, Naakam",Alexandrian laurel,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Calotropis gigantea,alarka,Madar/Aak,"Erukku,Arukkan, Erukki, Arakkam",giant milkweed,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Calotropis procera Dryand ex W.Ait.,arka,,Vellerukku,"mudar, roostertree",https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Cannabis sativa Linn.,"vijay, bhga",Qinnab/Bhang,"Kanja,Korakkar mooli,Siva mooli,Karpa mooli,Moodandam,Bangi,Madhamathakam","grass, hashish, hemp, marijuana, Mary Jane, pot,Indian Hemp",https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Capparis sepiaria,hisr bheda,,"Karunjurai,Senkatthaari, Kar indu, Kokki mullu, Kattu kathiri, Sirukkattiri",Indian Caper,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Capparis zeylanica Linn.,gdhranakh,,"Aathondai,Igudi, Indu, Migupalathan,Katthotti,Kaka turathi, Viyanicham, Tulambikkiri",Ceylon Caper,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
Capsicum annuum Linn.,kauvr,Mirch Surkh,"Milakaai, Oosimilagay",cayenne pepper,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Misc.asp
