Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Abrus precatorius Linn.,guj,Aninud deek/Ghonghchi/Achnata Phal,"Kundrimani, Kundri","crab's eye, jequerity, pois rouge, precatory bean, rosary pea, rosarypea, tento muido, Indian liquorice",https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Acacia sinuata,"saptal, keya",,"Shikai kaai,Shikkai,Seeyak kaai",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Acalypha fruticosa,Cinnvara,,"Chinni,Chinnimara,Kitti kizhangu",Birch-leaved Acalypha,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Acalypha indica Linn.,"kupp, muktavarc, haritamajar",Kuppi,"Kuppai meni,Arimancheri,Poonai vanangi,Meni, Muraimayakki",Indian copperleaf,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Aconitum ferox Wall. ex Ser.,vatsanbha bheda,Khaaniq-al-Zeb,"Vasha naabi,Vidam,Pachai naabi, Vishnanuir",Indian aconite,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Aconitum heterophyllum Wall. ex Royle,ativi,Atees/Patees,"Ahividayam,Pangurai,Madiri",indian atees,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Acorus calamus Linn.,vac,Waj-e-Turki,"Vasambu, Suduvaan, Uraippaan, Paersollaamarundhu, Pillaimarundhu, Vasamber","calamus, sweetflag",https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Aegle marmelos Correa ex Roxb.,bilva,Bil/ Bel / Belgiri / Bael / Safarjal Hindi / Shull / Ball / Tull /Nall,"Vilvam ,koovilum,sivathurumum, Maaloram, Vilvo",Indian bael,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Ailanthus malabarica,guggula dhpa,,"Perumaram, Mattipalai, Pongiliyam, Mattippaal",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
Alangium salviifolium,akoa,Aankola/Dhira/Anbaku,"Azhinjil,Semmaram,Sei",,https://www.tkdl.res.in/tkdl/langdefault/Siddha/Utility/KeywordDemo/Plant-Name.asp
