Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Abdominal lump,gulma,,Vayitru Kazhalaigal,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Alopecia,khlitya,Daa-al-Salab,Puzhuvettu,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Ama,ma,,"Seetham,Aamam",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Ankyloblepharon,Pilla,,Soolnluidu Pillam,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Ano-rectal diseases,Gudaroga,Amraaz-e-tanasuliyah,Asana Kudal Nolcial,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Anorexia,arocaka,Nuqsaan -ul- Shahvath / Zof-e-Ishteha,Rusi inmai,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Baldness,indralupta,Sala,Vazhukkai,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Blood dysentery,rakttisra,,"Rattha Kazhichal ,Kuruthi kazhichal",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Bodyache,vtajala,Dard-e-Badan,Udal Vali,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Boil,pik,Phunsi,Koppula Perunoi,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
boils,rakasa,,Koppula Perunoi,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Bronchial asthma,tamaka vsa,Zeeq-al-Nafas Shubi/Zeeq-al-Nafas/ Rabw,Eraippu Erunal,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Cachexia,oa,Huzaal,Udal Ilaippu Noi,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Calculus,Mutrasmari,,"Kalladaippu,Achamari",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
cardiac failure,hda graha,,Iyya Thamaraganoi,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Cataract,timira,,"Thimiram, Pithakkaasam, Kan poo",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
Cellulitis,gaaroga,,Kadhuppu Veekkam,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Diseases.asp
