Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Air/wind,pravta,,Kaattru,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Alleviates all diseases,Sarvarogahara,,Sarvanoi neekki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Alleviating Ama,mahara,,Mantham pokki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Anabolic,dhtuvddhikara,,Udal Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Anaesthetic,sajhara,Mukhaddir,Moorchai Undakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Analgesic;restoring normal sensation,vedansthpana,Musakkin-e-Alam/ Dafi'-e-Alam,Thuyaradakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Anti oxidant,rasyana,,Mudhumai Naraithirai Pokki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Anti wrinkle,valinaka,,Thirai Neekki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Antipyretic,jvarahara,Dafi'-e-Humma,"Udal Veppam Pokki,Suramarti",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Aphrodisiac,vya / vjkaraa,Muqawwi-e-Baah/Mubahhi/Moharrik-e-Baah,Aanmai Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Appetizer,dpana,Mushtahi/Mushahhi,Pasi thee thoondi,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Aversion to food,annadvea,,Anna Thuvesam,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Beneficial for eyes,cakuya,,Kannukkuethamana,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Beneficial for hair,Kesya,,Tholoi Modikku Nanhaiula,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Beneficial for throat,kahya,,Thondaikku Ithamana,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Beneficial for voice,svarya,,Kural Valamundaakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Breast tightening,Stana dardhyakara,Tasallub-e-sadi,Mulai Erukki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Cardio-tonic,hdya,Muqawwi-e-Qalb,Eruthaya palam Undaakkl,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Cleaning of urinary tract,bastiodhana,,Neer Thaarai Suthi,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Cleansing of oral cavity,mukhaviodhana,,Vaai Thooymaiyaakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Complexion promoting,varya,,Azhagu undaakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Conception promoting,Prajasthapaka,,Soothaga Veppagatri,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Confinement,avarodhana,,Kuzhanthai Paeru,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Day sleep,divsvapna,,Pagal Urakkam,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Exhilaration,haraa,,Urchagam,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Expectoration of mucous / Excision,Chedana,,Kozhaiyagatri,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Faecal Astringents,grh,,Serimaanam Undaakki Malam Kattal,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Heavy,gur,Saqeel,sumai,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Immuno-modulator,Ojovardhaka,,Udal Thathubalamakki/ Vaseekaram Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Increases kapha,kaphavardhaka,,Iyyam Migundha,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Induction of painless labour,sukhaprasavakara,,Suga prasavam Undaakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Intellect promoting,medhya,,Putthi Koormai Vazharkkum,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Invisible to naked eye,Adrsya,,Vertu kannal  kanamudiyatha,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Kapha / Slesma dosa alleviating,Kaphahara / Slesmahara,,Kaba Neekki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Kapha pitta dosa pacifying / alleviating,kaphapittahara,,Kaba Pitha Kuttram Samanilaiyaakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Lusture promoting,kntikara / prabhkara,,Vaseekaramundaakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Memory enhancer,smtivardhaka,Muqawwi-e-Haafizah,Gnapakam Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Mood elevators,cittaprasdaka,,Inbam Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Non-unctuous / Dry / Rough,rka,Khashin,Varatchi,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Nutrient,pauika,,Udal  Uramaakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Pacifying burning sensation,dhapraamana,,Thaathu Veppagatri,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Pacifying cold,tapraamana,,Kulirchi Neekki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Pacifying three Dosas,tridoaghna,,Mutthoda Samani,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Pittadosa alleviating,pittahara,,Pithamadakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
promoting bodily bulk,Brmhaniya,,Udal Parumanakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Promoting desire for food and relish,rocana,,Pasi thee thoondi,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Promoting digestive fire,agnivardhana,,Posithee Undaaki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Promoting growth of penis,ligavddhikara,,Aan Kuri valarchi perukki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Providing longevity,yuya,,Kayakalpa,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Regulates the menstruation,rajouddhikara,,Soothagamundaakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Restoring normalcy of blood,oitsthpana,,Thoda Makatri,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Semen retaining,ukrastambhana,,Vinthu Adakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Semenpromoting,ukrajanana,,Vinthu Perukki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Sexual indulgence,str sasarga,,"Punaruthal,Aalinganam seithal",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Sour,amla,Haamiz/ Tursh,Pulippu,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Strength promoting,balya,,Vanmai UndakkiUdal thetri,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Suppuration of wound,Pacana,,Pasithee Thoondi/ Azhugal Agatri,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Sweet,madhura,Hulw/ Sheeren,"Inippu,Mathuram",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
therapeutic emesis,vamana,,Vaanthi Undaakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Unctuous,snigdha,Dasim / Chikna,Medhuvam,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
union promoting,sandhnya,,Porutthal Undaakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Useful for breaking,bhedanya,,Malam Ilakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Vata kapha dosa /alleviating,vtakaphahara,,Vathakabam Kuttram  Neekki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Vatadosa alleviating,vtahara,,Vaathamadakki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Vatapitta dosa alleviating,Vatapittahara,,Vatha Pitha Noineekki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Walking,bhramaa,Tahalna/Chahalqadmi,Nadanthu kondu,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
Wound healing,vraaropaa,,Viranam Pokki,,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Action.asp
