Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Abrus precatorius Linn.,guj,Aninud deek/Ghonghchi/Achnata Phal,"Kundrimani, Kundri","crab's eye, jequerity, pois rouge, precatory bean, rosary pea, rosarypea, tento muido, Indian liquorice",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Acacia arabica/nillotica Willd.,babbla,Aqaaqia/Mughilaan/Kikar/Babool/Qaraz,Karuvel,"Babul, Black Babul, Indian Gum arabic tree",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Acacia catechu,khadira,Khair/Kath Safaid,"Karungali, Kashukatti, Vodalai, Vodalam",cutch tree,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Aconitum chasmanthum Stapf & Holmes / Aconitum ferox Wall. ex Ser.,gika via,,,Indian aconite,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Aconitum ferox Wall. ex Ser.,vatsanbha bheda,Khaaniq-al-Zeb,"Vasha naabi,Vidam,Pachai naabi, Vishnanuir",Indian aconite,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Aconitum heterophyllum Wall. ex Royle,ativi,Atees/Patees,"Ahividayam,Pangurai,Madiri",indian atees,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Acorus calamus Linn.,vac,Waj-e-Turki,"Vasambu, Suduvaan, Uraippaan, Paersollaamarundhu, Pillaimarundhu, Vasamber","calamus, sweetflag",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Aegle marmelos Correa ex Roxb.,bilva,Bil/ Bel / Belgiri / Bael / Safarjal Hindi / Shull / Ball / Tull /Nall,"Vilvam ,koovilum,sivathurumum, Maaloram, Vilvo",Indian bael,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Alangium salviifolium,akoa,Aankola/Dhira/Anbaku,"Azhinjil,Semmaram,Sei",,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Alhagi maurorum Baker Dexv / Alhagi pseudalhagi,"yavsaka, dhanvaysa",Haaj / Turanjabeen/Jawaasa/Jawaansa,"Thurunjibin, Tulganari","camel thorn, persian manna plant",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Allium sativum,"launa, lahasuna",Seer,"Poondu, Lasunam, Ulli, Vellaippoondu, Vellulli","Garlic, cultivated garlic",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Alocasia macrorrhiza,mnaka,,"Merugankilangu, Ulakkai, Kandhaputpi, Musalam",Giant taro,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Aloe barbadensis Mill.,kumr,Gheekawaar/Sibr,"Katrazhai,Kumari, Chirukatrazhai, Rattabolam, Kariyabolam","Barbedos aloe, Indian aloe, Curacao aloe, Jaffarabad aloe",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Alstonia scholaris,saptapara,Kashim/Chatim,"Ezhilai palai, Mukkampalai, Sapthaparni, Pala",Dita bark,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Amomum subulatum Roxb.,sthlael bheda,Heel Kalaan/Qaaqulah Kabeer,"Periya elakkai, Kaattu elam, Aruga sani",Greater or Nepal Cardamom,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Amorphophallus campanulatus,sraa,Zamin Kand Beghi/Soran,"Kaaraa karunai, Karanaikilangu, Sooram",Elephant-foot Yam,https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
Anacyclus pyrethrum DC.,krakarabha,Aaqarqarha /Oodul-Qarah,"Akrakaaram, Akkirakaaram","Pellitory of Spain, Pyrethrum",https://www.tkdl.res.in/tkdl/langdefault/Sowarigpa/Utility/KeywordDemo/Plant-Name.asp
