Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Abortion / Miscarriage,garbhapta,Isqaat-e-Haml,Karu Sathaivu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Abscess,,Dubaila,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Acne vulgaris,yuvnapiik,Busoor-e-Labaniyah/busoor-e-duhniyah/Muhaase,Muga paru,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Acute Abscess,,Khuraaj,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Ageusia,,Butlaan-e-Zauq,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Allergic headache,,Suda-e-Hissi,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Alopecia,khlitya,Daa-al-Salab,Puzhuvettu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Alopecia areata,,Baalkhora,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Alopecia Furfuracea,,Daa-al-Hayyah,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Amblyopia,,Zof-e-basar,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Amnesia,,Nisyaan,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Amoebic dysentery,,Zoosantaaria,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Anaemia,,Faqr-ud-dam/Su-ul-Qinya,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Anal Fissure,,Shiqaaq -e- Maq'ad,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Anal Fistula,,Nawaaseer,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Anal Ulcers,,Qurooh -e- Maq'ad,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Anorexia,,Zof-e-Ishteha,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Anorexia,arocaka,Nuqsaan -ul- Shahvath / Zof-e-Ishteha,Rusi inmai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Anthrax,,Jamrah,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
Anuria,mtrakaya,Ihtibaas-e-Baul,Neer Churukku,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Diseases.asp
