Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Adult,Vayaska,Baalig,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Ascaris lumbricoides,,Hayyat,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Ass,khara,Utaan/Khar/ Gadhi/Gadha,Kazhuthai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Camel,,Bakheeb/ Shutr-e-Aa'raabi/ Bukht,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Cantharide,,Zaraarih/ Telni makkhi/ Ali Kochak,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Castorium / Beaver,gandha mrjara/jundabedastara,Jundbedastar/Ood Belaao/ Khazmeyaan,Neernay,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Children,Blaka,Atfal,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Cocoon,,Aghnius/ Qirmiz/ Dood-us-sabbaagheen/ Kirm-e-rangrezaan,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Cow,gau,Eenak/ Mada Gao,"Pasu,Komaadhaa",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Crab,,Harzaan/ Sarataan-e-Nahri,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Duck,kraa,Bat/ Battakh/ Ardak,Vaatthu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Elephant,gaja/kujara,Feel/Haathi,"Yaaanai,Kaliru,Kajam,Piliru",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Foetus,,janeen,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Francolin,,Aatish Khuarah / Kabak / Qabj / Chikor / Kabak Dari / Takhaa,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Goat,Vasta / Basta,Buz/ Ma'z,Vel Aadu / Aadu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Hen,kukkua,Maakiyaan/ Murghi/Dajaajah,"Kozhi,Kukkidam,Kaalayudham,Vaaranam,Aandalaippul",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
House sparrow,kalavika,Kunjashk/ Goraiyya/ Usfoor,Pen aadu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Intestinal worm,gapada,Kirm-e-Shikam,Naakku Poochi,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Mongoose,nakula,Abu-al-Vasaas/ Abul hukum/ Nevla/ Raasoo,Keeri,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Monitor,,Anufutaanas/ Goh/ Sosmaar,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Ox,,Bail/ Nar gao/ Balad,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Pig,kara,Abu jahannam/ Khook/ Khinzeer/ Baarah,"Pantri,Varaakam,Kidi",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Pochard,,Murghaabi/ Ibn-ul-Maa/ Ivvaz/ Arooza/ Hans,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Rabbit / Hare,aa,Arnab-e-barri/ Khargosh,Muyal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Sheep / Ewe,avi,Gospand / Meesh / Bhed,Oru vagai maan,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Shrimps,,Mahirubian/ Jheenga,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
snail shell,,halazoon/wada'/ghongha,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Snake,sarpa/ahi,Maar/ Ibn-e-Qurah/ Saanp,Paampu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Swallow,,Baabwaana/ Khutaaf/ Abaabeel,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
"Velvety Tick, Cochineal insect",Indragopa,Beer Bahuti/Booque,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Wild Buffalow,,Arnah/ Jaamoos-e-Sahraai/ Mehki,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
Woman,nr,Nisa/Aurat,Pen,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Name.asp
