Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Aged,vddha,Sin raseeda /Shuyookh,"Mudhiya,Vayadhu mudhirntha",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Alimentary Tract,,Qanaat-e-Ghizaai,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Ambergris / Amber,Agnijara,Anbar,Ambaru,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Anus,gud,Maqa'd/ Dubr,"Asanam,Moola vaai",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Belly / Abdomen,Udara,Batn/ Shikam,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
bile,,Sauda,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Blood,oita,Dam/Khoon,"Kuruthi,Irattham,Sen thadhu",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Blood vessel,sir,Urooq-e-Damviyah,"Kuruthi kuzhal, rattha thanthugi, Senneer kuzhal,Naadi,Naalam",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Body material,,Maaddah,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Body part/s,Amga,Aazaa-e-Badan,Udal uruppukal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Bone/s,Asthi,I'zaam/Azm,Enbu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Brain,mastika,Dimaagh,Moolai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Butter,navanta,Makkhan/ Zabad/ Maska,"Vennai,Navaneedham",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Butter milk,takra,Chhaachh/ Dogh/ Iran,Mor,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Clarified butter,ghta/sarpi,Roghan-e-Zard/Ghee,Nei,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
conjunctiva,,multahima,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Coral,Pravla,Busud,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Coral / Corallium rubrum,pravla/vidruma,Marjaan/Hajar-e-Shajari/Busud/Kharoomak,"Pavazham,Pravaalam,Thukir,Thuppu,Vaarithi thandu,Senthandu maalai",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Cowrie/Shell,,Kodi/ Khar Mohra,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Curd,dadhi,Jaghraat/ Maast/ Dahi,Thayir,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Cuttlefish,,Samandar Phen/Kaf-e-Darya,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Dung,Karisa / Purisa /Sakrta,Sargeen/ Gobar,"Saanam,Eru,Latthi,Vittai,Puzhukkai",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Ear,Karna,Uzn,"Kaadhu,Chevi,Karnam",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
External Oss,,Fam-e-Rehm,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Eye,Aksi / Netra,Ain,"Kann,Vizhi,Nethiram,Nayanam",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Face,nana,Wajh/ Chehra,Mugam,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Flesh,msa/mia,Lahm/ Gosht,Maamisam,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Gall bladder,Pittaya,Zahraj/ Maraarah/ Pitta,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
gall bladder stone,,Hajar-al-Baqar/ Gaao Zahrah/ Gaao Rohan,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
Gums,dantamla,Lesah/ Masoodah,"Eeru,Pal adi",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Animal-Part.asp
