Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Abortifacient,Garbhapataka,Musqit-e- Janeen,Karu Chithaivu  undaaki,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Abscess maturative,,Mufajjr-e-Awraam,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Absorbent,,Jaazib,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Adipogenous,,Musammin-e-Badan,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Agglutinant / Lubricant,,Mugharri,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Anaesthetic,sajhara,Mukhaddir,Moorchai Undakki,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Analgesic;restoring normal sensation,vedansthpana,Musakkin-e-Alam/ Dafi'-e-Alam,Thuyaradakki,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Anaphrodisiac,,Qate-e-Bah,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Anthelminthic,Krmighna,Dafi'-e-Kirm-e- Shikam,Puzhukolli,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Anti-inflammatory,Sothahara,Mohallil-e-Waram,Thaabitham Agatri,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Anti-intoxicating,,Dafi'-e-Khumaar / Mani'-e- Khumaar,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Antiagieng,,Mani'-e- Shaikhookhat,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Anticatarrh,,Dafi'-e-Nazla,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Antidiuretic,mtrasagrahaya,Habis-e-Baul,Siru Neer surukki,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Antiemetic,chardinigrahaa,Dafi'-e-Qai/ Mani'-e- Qai,"Vaanthi Adakki,Sarthi adakki,Vamanam adakki",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Antiobesity,,Muhazzil,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
Antipyretic,jvarahara,Dafi'-e-Humma,"Udal Veppam Pokki,Suramarti",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Action.asp
