Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Agate,,Aqeeq Surkh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
algae,,Tuhlub/Tahlab,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Andaran Salt,,Namak-e-Andraani,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
antimony,Niljana,Surmah Asfahaani/Sulemaani/ Surma Siyah/Ismid,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Arminian Earth,Gile Aramn,Gil-e-Armani,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Arsenic oxide,malla,Samm-al-Faar/Sankhya/ Zirneekh/ Hartal,Arithaaram,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Asphalt/ black bitumin/ mineral pitch,iljita,Qeer,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Bezoar stone,,Faad-e-Zahr/Zahr Mohra/Hajar-al-Samm,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
blue vitriol,tuttha,Aaboos//Tootiya-e-Sabz/Heera Kasees / Tootia/Sang-e-Surmah/Hajar-al-Kohl,"Thutham,Thurusu,Mayil thutham,Kandar,Narpachai,",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
calamite,kharpara,Hajar-e-Basri/Sang-e-Basri/Khaparia,Pal thutham,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Calomel,,Raskapoor/Shangraf Safaid,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Cinnabar,higula,Shanjraf/Shangraf/ Zanjafar,"lingam,Aanguri,Vannikarpam,Kalikkam,Kaanjanam",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Copper Oxide,,Mis Sokhtah,,Copper oxide,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Crossings earth,,Turaab-ul-Murabbaat,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Emerald,marakata/ trkya,Zumurrad / Paalaj/ Zabarjad,"Marakatham,Gousthvam,Karudappachai",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Gold,svara,Ibreez/Tilaa-e-Khaalis/Sona/Zahab,Thangam,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Hail,,Salaj/Olah/Jaleed/Zalah/Barf,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
iron,,Zaaj/Kasees/Qalqeedun,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
iron rust,mara,Chattem/Reem-e-Aahan/Khabas-al-Hadeed,"mandooram,kittam,Chittam,Ayomalam,Loga mandooram,Aya chittam",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Jasper,Vyomm,Hajar-al-Yashab/Hajar-al-Yashaf,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
jewish stone,badarma,Hajar-al-yahood/Zaitoon Bani Israel,Chukkaankal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Lapis lazuli,rjvarta,Hajar-e-Laajward,Karu Makkal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Lime,cra,Aahak/ Choona / Norah / Kils,Chunnaambukkal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Litharge of Silver,,Qaleemia-e-Fizzah,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Magnet,Kntalauha,Aahan Ruba/Maqnaatees/Hajar-al-Hadeed,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Massicot,,Murdaar Sang,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Ore,,Iqleemiya/Leenaj,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
orpiment,haritla,Zirneekh-e-Zard/Hartaal Tabqi/Hartaal Warqi,"Thalakam,ArIthaaram,Ponvarni,Maaldevi,Kothandham,Peethagi,Aalambi,Kaal puthi,Paluppu,Manjal varni",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Pearl,,Marwareed,,Pearl,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Perchloride of mercury,rasakarpra,Daar Shikna/Daar Chikna,Veeram,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Pitch Jews,,Abu Naamoon/Qafr-al-Yahood/Zift Bahri/Qafr,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Potash Alum,Saurastri / Sphatika,Zaaj-e-Safaid/Zaaj-e-Abyaz/Phitkari/Shibb,"Padikaaram,Cheenam,Padiki",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Red Ochre,gairika,Geru/ Barteeqoon/Teen-e-Ahmar/ Maghrah/Gil-e-Surkh,Poongkaavi,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Red oxide of lead,Nagasindura,Sindoor,Vanga Chenduram,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
rock salt,Saindhava lavana,Namak-e-Sang / Saindha lon/Saindha Namak/Namak-e-Hindi/Namak-e-Lahori,"Indhuppu,mathiuppu ,saindhalavanam,mathi koormai",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Ruby,mikya,Yaqoot Surkh / Lal,Manickam,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Rust,zanga,Zang/Khabas,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Sal Ammoniac,,Naushaadar,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Salt Marsh,,Ibqar/Shora/Namak-e-Shor/ Shora Qalmi,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Silver,rajata,Nuqrah/ Chaandi/Guwaarna,"Velli,Sukkiran,Madurai podhu,Ven thaadhu,Ven pon,Rasidha mani,Kala thoudham",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Sodium carbonate,,Boora-e-Sulemaani/Natroon,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Sulphur,Gandhaka,Kibreet/ Gandhak,"Gandhakam,Kandhi,Kaarilaiyin naadham,Devi uram,Sendhoorathaadhi,Parai naadham,Atheetha pirakasam,Sakthi peejam,Rasa suronitham,Selvi vindhu",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
Tin oxide,,Safaida-e-Arzeez,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
topaz,puparga,Yaaqoot Asfar/ Yaqoot-e-Zard/ Pukhraaj,Putppa Ragam,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
vitiriol,,Qalqataar,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
washing soda,,Sajji,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
White petroleum jelly,Vaseline,Mom safaid,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
zinc oxide,pupjana,Safaida-e-Kaashghari/Asfeedaaj  /Abu Malyoon,Nagam,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Metal.asp
