Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
A type of sweet dish,Pea,Peda,,A type of sweet dish,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Achillea millefolium Linn.,birajsipha,Kasoom/ Baranjasif/Qaisoom,,"bloodwort, carpenter's weed, common yarrow, hierba de las cortaduras, milfoil, plumajillo, western yarrow, yarrow",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Bad/Detrimental,,Radi,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Blepharis persica,"uagaa, kmavddhi",Utangan/Anjurah/Aqlaaboonas,,Acanthus,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Blumea balsamifera DC.,kukundara bheda,Kukronda/Kamafitoos,,nagi camphor,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Boswellia serrata Roxb.,allak,Kundur,"Parangi sambirani,Narumpisin,Kumanchan,Kundhilingam,Kundhurukkam, Thoopam",Indian frankincense,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
bottle,,Botal/sheeshi,,bottle,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Brassica nigra,rjik bheda,Khardal/Rai/Laaee/Laahee,Siru kaduku,"black mustard, shortpod mustard",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Brassica rapa Linn.,alagama,Shalgham/Lift/ Shaljam,Karuppu kadugu,"bird's rape, birdsrape mustard, field mustard, rape, rape mustard, turnip rape, wild mustard, wild rutabaga, wild turnip, Turnip",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Bread,,Khubz,,Bread,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Buchanania lanzan Spr.,priyla,Chironji,"Morala, Mudaima, Kattuma, Sarai, Akkarappattai, Charapparuppu","Almondette tree, Cheronjee,
Buchanans Mango",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
burning,,Sozish,,burning,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Butea monosperma,pala,Samagh-e-Dhaak/Palaaspaaapra/Dhak/Tesu/Chanya/ Channi Gond/ Chanya Gond/Kamarkas,"Purasu,Palasu,Kirumi naasam,Kinjuki,Bramma thaaru,Puna murukku,Vaatha botham,Vana pathiyam",Bengal kino,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Cack made from cow/Buffalo dung,,Upla/Uplae,,Cack made from cow/Buffalo dung,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
"Cake of fine sugar, honey, sesame oil and almonds",,Khubz Qataaif/Naan-e-Roghni,,"Cake of fine sugar, honey, sesame oil and almonds",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Calotropis gigantea,alarka,Madar/Aak,"Erukku,Arukkan, Erukki, Arakkam",giant milkweed,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Cannabis sativa Linn.,"vijay, bhga",Qinnab/Bhang,"Kanja,Korakkar mooli,Siva mooli,Karpa mooli,Moodandam,Bangi,Madhamathakam","grass, hashish, hemp, marijuana, Mary Jane, pot,Indian Hemp",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Capparis spinosa Linn.,hisr,Kabar,,caper,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Cardiospermum halicacabum Linn.,"kkatikt, karasphoa",Habb-ul-Qilqil/Qilqil,"Mudukottan,Samuthiram, Vathamadakki, Sugattan","balloonvine, love in a puff",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
coarseness,,Khushoonat,,coarseness,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Consistency,,Qewaam,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
cracking,,Tashaqquq,,cracking,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Delivery,Prasava,Waladat,,Delivery,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
diet/diets,hra/ Bhakya,Ghiza/Aghziyah,,diet,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Dietary preparation of pulse,,Daal,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Diluted curd,Lass,Lassi,,Diluted curd,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Diseases,Vydhi,Amraaz,,Diseases,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
dyscrasia/ill temperament,,Su-e-mizaj,,dyscrasia/ill temperament,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Evacuation,,Tanqiya/Istifraagh,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
excess,dhikya,Zeyaadati,,excess,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Fluid,,Rutoobat,,wet,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
foreign body,gantujaalya,Ajsaam-e-ghareeba,,foreign body,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
gaseous,,Reehi,,gaseous,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Gravy,,Maraq/Shorba,,Gravy,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
infection,Sankramaa,Tadiyah/ Ufoonat,,infection,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
Infiltration,,Insebab,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Misc.asp
