Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Abies pindrow Linn.,Zarnab,Zarnab,,"West Himalayan fir, fir, silver fir, low- level fir, Tosh",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Abrus precatorius Linn.,guj,Aninud deek/Ghonghchi/Achnata Phal,"Kundrimani, Kundri","crab's eye, jequerity, pois rouge, precatory bean, rosary pea, rosarypea, tento muido, Indian liquorice",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Acacia arabica/nillotica Willd.,babbla,Aqaaqia/Mughilaan/Kikar/Babool/Qaraz,Karuvel,"Babul, Black Babul, Indian Gum arabic tree",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Aconitum heterophyllum Wall. ex Royle,ativi,Atees/Patees,"Ahividayam,Pangurai,Madiri",indian atees,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Aconitum napellus Linn.,vatsanbha bheda,Beesh/Meetha Zahr,Seemai naabi,Venus' chariot,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Acorus calamus Linn.,vac,Waj-e-Turki,"Vasambu, Suduvaan, Uraippaan, Paersollaamarundhu, Pillaimarundhu, Vasamber","calamus, sweetflag",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Actaea spicata Linn.,viaphala,Ban / Haama aqti,,Baneberry Grapewort,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Adhatoda zeylanica Medic,,Arusa/Bansa,,"Malabarnut, Vasaka",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
"Adiantum capillaris-veneris, Linn",,Shar-al-Jinn/Persiaaushaan/Lehaa-al-Ghool/ Ardmaana/Lehyat-al-Himaar/Kazbara-al-Bair/Kazbara-al-Maa,,Maiden-hair Fern,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Aegle marmelos Correa ex Roxb.,bilva,Bil/ Bel / Belgiri / Bael / Safarjal Hindi / Shull / Ball / Tull /Nall,"Vilvam ,koovilum,sivathurumum, Maaloram, Vilvo",Indian bael,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Aesculus hippocastanum Linn.,mandra,Baloot,,horse chestnut,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Agaricus alba,grkna,Ghariqoon/Chhatari,,White Agaric,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Ajuga reptans Linn.,,Jada,,"Blue bugle, Bugleherb, Bugleweed, Carpetweed, Carpet Bungleweed, Common bugle",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Albizia lebbeck,,Labakh/Lanj/ Alnaj,,"Lebbeck, Lebbek Tree, Flea Tree, Frywood, Koko and Woman's tongues Tree",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Alhagi maurorum Baker Dexv / Alhagi pseudalhagi,"yavsaka, dhanvaysa",Haaj / Turanjabeen/Jawaasa/Jawaansa,"Thurunjibin, Tulganari","camel thorn, persian manna plant",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Allium ascalonicum,gjana,Gandana,,"The shellot,wild onion",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Allium cepa Linn.,palu,Piyaz / Unsul,"Venkaayam, Erulli, Nichayam, Palaandu","onion, garden onion",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Allium sativum,"launa, lahasuna",Seer,"Poondu, Lasunam, Ulli, Vellaippoondu, Vellulli","Garlic, cultivated garlic",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Allium schnoloprasum Linn.,,Usqoordiyoon/Som-ul-Hayya/Asquridiyoon,,"Chives, Cives",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Aloe barbadensis Mill.,kumr,Gheekawaar/Sibr,"Katrazhai,Kumari, Chirukatrazhai, Rattabolam, Kariyabolam","Barbedos aloe, Indian aloe, Curacao aloe, Jaffarabad aloe",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Aloe perryi Bak.,kumr bheda,Sibr saqutri,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Alpinia galanga,rsn,Khulanjan,Perarathai,The greater galangal,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Alstonia scholaris,saptapara,Kashim/Chatim,"Ezhilai palai, Mukkampalai, Sapthaparni, Pala",Dita bark,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Althaea officinalis Linn.,khatm,Khatmi/Kheru,Seemai thutti,Marsh mallow,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Altingia excelsa Noronha,ilrasa,Meah saila/Ustraak,Neriyurishippal,"Storax, Oriental Sweet
Gum",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Ammi majus Linn.,"vitraghn,",Atrilaal,,large bullwort,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Amomum aromaticum Roxb.,sthlael  bheda,Hamaama,,Bengal Cardamom,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Amomum subulatum Roxb.,sthlael bheda,Heel Kalaan/Qaaqulah Kabeer,"Periya elakkai, Kaattu elam, Aruga sani",Greater or Nepal Cardamom,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Anacyclus pyrethrum DC.,krakarabha,Aaqarqarha /Oodul-Qarah,"Akrakaaram, Akkirakaaram","Pellitory of Spain, Pyrethrum",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Ananas comosus,anannsa,Anannas,"Annasi pazham,Poondhalampazham",pineapple,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Anethum sowa Roxb. ex Flem.,athv,Shibt/Soya,"Sadha kuppai,Soyi keerai vidhai,Madhurikai, Sadhaputphi","Indian Dill, Sowa",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Anogeissus latifolia,dhava,Gul-e-Dhawa,"Vellainaangumaram, Vekkali, Vellaynaga",gum ghatti,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Apium graveolens Linn.,ajamod bheda,Ajmod/Karafs,Celarikeerai,"wild celery, Celery",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Aquilaria malaccensis Lam. Syn.,agaru,Ood Hindi/ Agar/Ood Qimari/Ood Gharqi/Aghaloojan/ Aghalooji,"Akil, Akaru, Poozhil, Kaakathundm, Aggalichandana","Aloewood, Eaglewood, Agarwood",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Areca catechu Linn.,pga,Fufal/Chalia/Chikni Supaari,"Paakku,Kandhi adaikkai,Kamuku",betel palm,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Argyreia nervosa,,Samandar sokh,,Samudrapalaka,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Aristolochia longa,jaravanda madahja,Zarawand Taweel,,European Birthwort,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Aristolochia rotunda,jaravanda tavla,Zarawand Mudahraj,,Birthwort,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Artemisia abrotanum Linn,,Qaisum,,Wormwood,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Artemisia absinthium Linn.,Aphasantna,Afsanteen,Masipathri,"absinth sagewort, absinth wormwood, absinthium, common sagewort , Worm Wood, Southern Wood",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Artemisia maritima Linn.,Kamr yavn,Dermanah Turki/sheeh,,sea wormwood,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Artocarpus lakoocha Roxb.,Lakuca,Badhal,"Ilagusam, Irapala",Monkey Jack,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Asarum europaeum Linn.,Tagara,Asaaroon/Tagar,"Nila kadambu, Mutherukkansevi, Kuyakkaalam, Kookanam","Asarbacca, Hazelwort,Wild Nard",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Asparagus officinalis Linn.,Halayuna,Halyun,,"asparagus ,  garden asparagus",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Asparagus racemosus Willd.,"atvar, Med-Mahmed",Satawar,"Seemai sathaveri, Ammai kodi, Kadumulla, Mignthavanam, Varivari, Kilavari,Paniyanaku, Thanneervittankizhangu",Indian asparagus,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Asphodelus tenuifolius Cav.,,Gandana/Kuraas,,Onionweed,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Aspidium filix-mass/Dryopteris filix-mas,iruv,Sarkhas/Paneer Khurma/Jamaaz/Sarkhas Muzakkar,Iruvi,"male fern, male fern, male woodfern, malefern",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Aster atticus,,ustratiqoos/atratiqus,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Astragalus gummifer,Katr Goda,Kateera/Katira,Teracanth pisin,gum tragacanth milkvetch,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Astragalus sarcocola,Rudant,Anzaroot,,Sarcocola,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Atropa acuminata Royle ex Lindl.,Sc,Luffah/Yabrooj/Bateetas,,"Indian Belladonna, Indian
Atropa",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Azadirachta indica A. Juss.,Nimba,Neem,"Vembu, Arittam, Nimbam, Paripathiram, Pisumantham, Vepachetta",neem,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Bambusa arundinacea,"Vaa, Vaalocana, Basalocana",Khumairah Bairah/Qirtas sokhtah/Tabasheer/Baans/Nae,"Mungil, Mullumungil, Kazhai, Vaezhai, Thulai, Mulai",bamboo,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Benincasa hispida,kma,Petha / Mahdayah/Kohila,"Boosani, Kalyana poosani, Poosanikkai",waxgourd,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Berberis aristata DC. Syn.,druharidr bheda,Ambar Baaris/ Bar Baaris/Rasaut/Feelzahraj/Zarishk/Aarghees/Peel Zahra/Qoojaqaaneeyun/Huzuz-e-Hindi,Maramanjal,Indian Barberry,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Bombax ceiba Linn.,lmali,Saimul/Sembhal/Mocharas/Salmali,"Mullilavu, Pulai,Poorani,Pongar,Mosam","red silk cottontree, Silk Cotton Tree, Red Cotton Tree",https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Borreria articularis,madanagha,Uzn-ul- faar,"Nathai soori,Thaaruni,Kuzhi mittan,Tholiaga rambai, Kadukam",Shaggy Button Weed,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
Brassica olearacea L.,,Patta Gobhi/Karam kalla/  Karnab,,Wild Cabbage,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Name.asp
