Col 1,Col 2,Col 3,Col 4,Col 5,Source URL
Aril,koapatra,Qishr-e-Zaayed,Vithai mel padar narrambu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Branches,kh,Shaakh,Kizhaikal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
calyx,,ghundi,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
dried fruit,uka phala,samar -e-khushk,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Flower,pupa,Gul,"Poo ,malar,Malar ethazh",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Flower Bud,mukula,Shagoofah-e-Gul,Poo Mokku,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Fresh Flower,,Gul-e-Taaza,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
fresh leaves,,barg-e-taaza,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Fresh rhizome / tuber,Ardra kanda,Jazar-e-taazah,Elam Verkombu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Fruit,phala,Samar/Fawakeh,Pazham,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Fruit exudate,phalanirysa,Taraavush-e-Samar,"Vithai,Pazha Kasivu",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Fruit indumentum,phalaraja,Ghilaaf-e-Samar,Pazha Thozh Melpodi,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Fruit pulp,phalamajj,Goodah-e-Samar,Pazha Sathai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Fruit rind,phalatvak,Post-e-Samar,"Pazha odu,Pazha thol",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Gall,kagha,Maazu,Puzhukkoodu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Heart wood,khamajj,Qalb chob / Iedaan/Khashab,"Ulthandu,Kattai",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Juice,Svarasa,Ras,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Kernel,,Maghz-e-Tukhm,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Latex,kra,Sheer-e-Shajari,Moolikai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Leaf,patra,Barg/Patti,"Ilai,Thazhai",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Leaf pulp,patramajj,Maghz-e-barg,Ilai Soru,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Peel,,Post,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Pods,,Phali/Khol,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Pollen grains,,Zeerah dane,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
resin,,rateenaj,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Rhizome,prakanda,Jazr/Zameen Saaq,"Ver Kombu,Matta nila thandu",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Ripe fruit,pakvaphala,Samar-e-Raseedal/Pukhta,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Root,mla,Beekh/Asl/Usool,Ver,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Root bark,mlatvak,Post-e-Asl,Ver Pattai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Sap,t/ pdapanra,Ras,Padhaneer/ Kal,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Seed,bja/ phalsthi,Tukhm/Bazr/Buzoor,"Vidhai,Vithu,Kottai",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Seed husk,bjatvak,Qishr-e-Tukhm,"Thavidu,Umi",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Semi riped fruit rind,,Post-e-Samar-e-Neem Pokhtah,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
"St.Bark,Leaf,Flower,Fruit&Root",Pancanga,Nabat Musallam,Samoolam,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Stem,ka,Tana,Thandu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Stem bark,knatvak,Post-e-Saaq / Chhaal,"Thandu Pattai, Mara pattai",,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
stemen,,zar,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Stigma,vartikgra,Zeerah geer,Magarantha pye,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Terpene,Trpina taila,Tarpeen,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Thorn,kaaka,Khaar/Sulla,Mul,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Tuber/bulb/corm,kanda,Baslah,Kizhangu,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Unripe fruit,apakvaphala,Samar-e-khaam,Pazhakkaai,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
Vegetative buds / Young bud,uga,Shagoofah/Ghunchah,Ilanthazhir,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
wood,kha,Chob,,,https://www.tkdl.res.in/tkdl/langdefault/Unani/Utility/KeywordDemo/Plant-Part.asp
